Sample in Buffer,Sample in Window,TRIGGER,data/adc_F_data_package/state23[3:0],data/adc_F_data_package/next_state23[3:0],data/adc_F_data_package/adc_data[11:0],data/adc_F_data_package/fifo1[11:0],data/adc_F_data_package/data_fifo2_out[11:0],data/adc_F_data_package/data_fifo3_in[3:0],data/adc_F_data_package/rd_fifo2,data/adc_F_data_package/data_cnt_fifo2[7:0],data/adc_F_data_package/data_cnt_fifo2_use[7:0],data/adc_F_data_package/cnt23[11:0],data/adc_F_data_package/rd_fifo1_1,data/adc_F_data_package/rd_fifo1,data/adc_F_data_package/clk_125m,data/adc_F_data_package/full,data/adc_F_data_package/empty,data/adc_F_data_package/wr_rst_busy,data/adc_F_data_package/rd_rst_busy,data/adc_F_data_package/wr_fifo3,data/adc_F_data_package/fifo23_end,data/adc_F_data_package/rd_fifo3,data/adc_F_data_package/data_cnt_fifo3[9:0],data/adc_F_data_package/data_fifo3_out[3:0],data/adc_F_data_package/full3,data/adc_F_data_package/empty3
0,0,0,0,0,2015,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
1,1,0,0,0,2016,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
2,2,0,0,0,2016,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
3,3,0,0,0,2015,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
4,4,0,0,0,2016,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
5,5,0,0,0,2016,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
6,6,0,0,0,2017,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
7,7,0,0,0,2017,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
8,8,0,0,0,2018,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
9,9,0,0,0,2018,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
10,10,0,0,0,2018,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
11,11,0,0,0,2017,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
12,12,0,0,0,2016,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
13,13,0,0,0,2017,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
14,14,0,0,0,2016,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
15,15,0,0,0,2015,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
16,16,0,0,0,2015,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
