#Top: top   Floorplan: synth_1   Part: xcku040-ffva1156-2-i
#Generated by: DELL   on: Fri Aug  2 21:06:56 2024
#Build: Vivado v2017.4   by: xbuild   on: Fri Dec 15 20:55:39 MST 2017
#Package Version: FINAL 2014-05-08
#Package Pin Delay Version: VERS. 2.1 2013-09-19

################################################################################
#INVALID / INCOMPLETE PINOUT
#One or more ports below has an ERROR in its "Board Voltage" column.  Run DRCs for more info.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to LVTTL standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
47,W23,IOB_X0Y182,IO_L13P_T2L_N0_GC_QBC_47,117.547,118.729,,core_clk_20953,board1_adc1_clk_ref,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
48,AC31,IOB_X0Y231,IO_L12P_T1U_N10_GC_48,171.083,172.802,,core_clk_20953,board1_adc2_clk_ref,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
64,AF10,IOB_X1Y26,IO_L13P_T2L_N0_GC_QBC_64,121.451,122.671,,core_clk_20953,board2_adc1_clk_ref,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
65,N24,IOB_X1Y75,IO_L12P_T1U_N10_GC_A08_D24_65,175.083,176.843,,core_clk_20953,board2_adc2_clk_ref,OUT,,,LVCMOS25,12,SLOW,,,,,,,,FP_VTT_50,,,
47,V23,IOB_X0Y189,IO_L16N_T2U_N7_QBC_AD3N_47,109.078,110.174,,,board1_adc1_data_n[11],IN,N,board1_adc1_data_p[11],LVDS,,,,,,EQ_NONE,,,true,,,,
47,Y25,IOB_X0Y185,IO_L14N_T2L_N3_GC_47,134.632,135.986,,,board1_adc1_data_n[10],IN,N,board1_adc1_data_p[10],LVDS,,,,,,EQ_NONE,,,true,,,,
47,W21,IOB_X0Y193,IO_L18N_T2U_N11_AD2N_47,130.407,131.718,,,board1_adc1_data_n[9],IN,N,board1_adc1_data_p[9],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB20,IOB_X0Y174,IO_L9N_T1L_N5_AD12N_47,147.241,148.721,,,board1_adc1_data_n[8],IN,N,board1_adc1_data_p[8],LVDS,,,,,,EQ_NONE,,,true,,,,
47,Y27,IOB_X0Y157,IO_L1N_T0L_N1_DBC_47,122.296,123.525,,,board1_adc1_data_n[7],IN,N,board1_adc1_data_p[7],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB26,IOB_X0Y167,IO_L6N_T0U_N11_AD6N_47,135.977,137.344,,,board1_adc1_data_n[6],IN,N,board1_adc1_data_p[6],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AC27,IOB_X0Y163,IO_L4N_T0U_N7_DBC_AD7N_47,128.745,130.039,,,board1_adc1_data_n[5],IN,N,board1_adc1_data_p[5],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB27,IOB_X0Y165,IO_L5N_T0U_N9_AD14N_47,130.245,131.554,,,board1_adc1_data_n[4],IN,N,board1_adc1_data_p[4],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB22,IOB_X0Y170,IO_L7N_T1L_N1_QBC_AD13N_47,143.876,145.322,,,board1_adc1_data_n[3],IN,N,board1_adc1_data_p[3],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AD26,IOB_X0Y159,IO_L2N_T0L_N3_47,137.389,138.769,,,board1_adc1_data_n[2],IN,N,board1_adc1_data_p[2],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AC24,IOB_X0Y161,IO_L3N_T0L_N5_AD15N_47,149.858,151.364,,,board1_adc1_data_n[1],IN,N,board1_adc1_data_p[1],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AC21,IOB_X0Y176,IO_L10N_T1U_N7_QBC_AD4N_47,171.011,172.729,,,board1_adc1_data_n[0],IN,N,board1_adc1_data_p[0],LVDS,,,,,,EQ_NONE,,,true,,,,
47,V22,IOB_X0Y188,IO_L16P_T2U_N6_QBC_AD3P_47,109.148,110.245,,,board1_adc1_data_p[11],IN,P,board1_adc1_data_n[11],LVDS,,,,,,EQ_NONE,,,true,,,,
47,W25,IOB_X0Y184,IO_L14P_T2L_N2_GC_47,136.605,137.978,,,board1_adc1_data_p[10],IN,P,board1_adc1_data_n[10],LVDS,,,,,,EQ_NONE,,,true,,,,
47,V21,IOB_X0Y192,IO_L18P_T2U_N10_AD2P_47,119.000,120.196,,,board1_adc1_data_p[9],IN,P,board1_adc1_data_n[9],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AA20,IOB_X0Y173,IO_L9P_T1L_N4_AD12P_47,148.172,149.661,,,board1_adc1_data_p[8],IN,P,board1_adc1_data_n[8],LVDS,,,,,,EQ_NONE,,,true,,,,
47,Y26,IOB_X0Y156,IO_L1P_T0L_N0_DBC_47,121.975,123.201,,,board1_adc1_data_p[7],IN,P,board1_adc1_data_n[7],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB25,IOB_X0Y166,IO_L6P_T0U_N10_AD6P_47,136.880,138.255,,,board1_adc1_data_p[6],IN,P,board1_adc1_data_n[6],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AC26,IOB_X0Y162,IO_L4P_T0U_N6_DBC_AD7P_47,138.153,139.541,,,board1_adc1_data_p[5],IN,P,board1_adc1_data_n[5],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AA27,IOB_X0Y164,IO_L5P_T0U_N8_AD14P_47,122.957,124.192,,,board1_adc1_data_p[4],IN,P,board1_adc1_data_n[4],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AA22,IOB_X0Y169,IO_L7P_T1L_N0_QBC_AD13P_47,143.805,145.251,,,board1_adc1_data_p[3],IN,P,board1_adc1_data_n[3],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AD25,IOB_X0Y158,IO_L2P_T0L_N2_47,142.467,143.899,,,board1_adc1_data_p[2],IN,P,board1_adc1_data_n[2],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB24,IOB_X0Y160,IO_L3P_T0L_N4_AD15P_47,149.075,150.573,,,board1_adc1_data_p[1],IN,P,board1_adc1_data_n[1],LVDS,,,,,,EQ_NONE,,,true,,,,
47,AB21,IOB_X0Y175,IO_L10P_T1U_N6_QBC_AD4P_47,168.966,170.665,,,board1_adc1_data_p[0],IN,P,board1_adc1_data_n[0],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AF28,IOB_X0Y211,IO_L2N_T0L_N3_48,178.280,180.072,,,board1_adc2_data_n[11],IN,N,board1_adc2_data_p[11],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AE30,IOB_X0Y217,IO_L5N_T0U_N9_AD14N_48,170.574,172.289,,,board1_adc2_data_n[10],IN,N,board1_adc2_data_p[10],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AB34,IOB_X0Y243,IO_L17N_T2U_N9_AD10N_48,164.728,166.384,,,board1_adc2_data_n[9],IN,N,board1_adc2_data_p[9],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AD33,IOB_X0Y245,IO_L18N_T2U_N11_AD2N_48,172.048,173.777,,,board1_adc2_data_n[8],IN,N,board1_adc2_data_p[8],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AD34,IOB_X0Y239,IO_L15N_T2L_N5_AD11N_48,175.212,176.973,,,board1_adc2_data_n[7],IN,N,board1_adc2_data_p[7],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AF32,IOB_X0Y226,IO_L9N_T1L_N5_AD12N_48,171.235,172.956,,,board1_adc2_data_n[6],IN,N,board1_adc2_data_p[6],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AB29,IOB_X0Y241,IO_L16N_T2U_N7_QBC_AD3N_48,176.650,178.425,,,board1_adc2_data_n[5],IN,N,board1_adc2_data_p[5],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AF34,IOB_X0Y228,IO_L10N_T1U_N7_QBC_AD4N_48,171.953,173.682,,,board1_adc2_data_n[4],IN,N,board1_adc2_data_p[4],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AG34,IOB_X0Y224,IO_L8N_T1L_N3_AD5N_48,176.921,178.699,,,board1_adc2_data_n[3],IN,N,board1_adc2_data_p[3],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AB31,IOB_X0Y237,IO_L14N_T2L_N3_GC_48,165.559,167.223,,,board1_adc2_data_n[2],IN,N,board1_adc2_data_p[2],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AG32,IOB_X0Y222,IO_L7N_T1L_N1_QBC_AD13N_48,176.996,178.775,,,board1_adc2_data_n[1],IN,N,board1_adc2_data_p[1],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AG30,IOB_X0Y219,IO_L6N_T0U_N11_AD6N_48,176.484,178.258,,,board1_adc2_data_n[0],IN,N,board1_adc2_data_p[0],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AE28,IOB_X0Y210,IO_L2P_T0L_N2_48,171.934,173.662,,,board1_adc2_data_p[11],IN,P,board1_adc2_data_n[11],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AD29,IOB_X0Y216,IO_L5P_T0U_N8_AD14P_48,184.098,185.948,,,board1_adc2_data_p[10],IN,P,board1_adc2_data_n[10],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AA34,IOB_X0Y242,IO_L17P_T2U_N8_AD10P_48,156.374,157.946,,,board1_adc2_data_p[9],IN,P,board1_adc2_data_n[9],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AC33,IOB_X0Y244,IO_L18P_T2U_N10_AD2P_48,161.537,163.160,,,board1_adc2_data_p[8],IN,P,board1_adc2_data_n[8],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AC34,IOB_X0Y238,IO_L15P_T2L_N4_AD11P_48,172.094,173.824,,,board1_adc2_data_p[7],IN,P,board1_adc2_data_n[7],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AE32,IOB_X0Y225,IO_L9P_T1L_N4_AD12P_48,168.491,170.184,,,board1_adc2_data_p[6],IN,P,board1_adc2_data_n[6],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AA29,IOB_X0Y240,IO_L16P_T2U_N6_QBC_AD3P_48,172.937,174.675,,,board1_adc2_data_p[5],IN,P,board1_adc2_data_n[5],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AE33,IOB_X0Y227,IO_L10P_T1U_N6_QBC_AD4P_48,158.622,160.216,,,board1_adc2_data_p[4],IN,P,board1_adc2_data_n[4],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AF33,IOB_X0Y223,IO_L8P_T1L_N2_AD5P_48,165.666,167.331,,,board1_adc2_data_p[3],IN,P,board1_adc2_data_n[3],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AB30,IOB_X0Y236,IO_L14P_T2L_N2_GC_48,167.954,169.642,,,board1_adc2_data_p[2],IN,P,board1_adc2_data_n[2],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AG31,IOB_X0Y221,IO_L7P_T1L_N0_QBC_AD13P_48,179.171,180.972,,,board1_adc2_data_p[1],IN,P,board1_adc2_data_n[1],LVDS,,,,,,EQ_NONE,,,true,,,,
48,AF30,IOB_X0Y218,IO_L6P_T0U_N10_AD6P_48,171.259,172.980,,,board1_adc2_data_p[0],IN,P,board1_adc2_data_n[0],LVDS,,,,,,EQ_NONE,,,true,,,,
64,AH8,IOB_X1Y37,IO_L18N_T2U_N11_AD2N_64,147.372,148.853,,,board2_adc1_data_n[11],IN,N,board2_adc1_data_p[11],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AP10,IOB_X1Y1,IO_L1N_T0L_N1_DBC_64,136.583,137.956,,,board2_adc1_data_n[10],IN,N,board2_adc1_data_p[10],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AD8,IOB_X1Y35,IO_L17N_T2U_N9_AD10N_64,120.057,121.264,,,board2_adc1_data_n[9],IN,N,board2_adc1_data_p[9],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AF13,IOB_X1Y14,IO_L7N_T1L_N1_QBC_AD13N_64,93.877,94.820,,,board2_adc1_data_n[8],IN,N,board2_adc1_data_p[8],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AF12,IOB_X1Y18,IO_L9N_T1L_N5_AD12N_64,94.058,95.003,,,board2_adc1_data_n[7],IN,N,board2_adc1_data_p[7],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AG9,IOB_X1Y29,IO_L14N_T2L_N3_GC_64,128.119,129.407,,,board2_adc1_data_n[6],IN,N,board2_adc1_data_p[6],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AE10,IOB_X1Y33,IO_L16N_T2U_N7_QBC_AD3N_64,120.458,121.669,,,board2_adc1_data_n[5],IN,N,board2_adc1_data_p[5],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AL12,IOB_X1Y9,IO_L5N_T0U_N9_AD14N_64,110.407,111.517,,,board2_adc1_data_n[4],IN,N,board2_adc1_data_p[4],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AE11,IOB_X1Y20,IO_L10N_T1U_N7_QBC_AD4N_64,94.005,94.949,,,board2_adc1_data_n[3],IN,N,board2_adc1_data_p[3],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AN12,IOB_X1Y7,IO_L4N_T0U_N7_DBC_AD7N_64,135.095,136.452,,,board2_adc1_data_n[2],IN,N,board2_adc1_data_p[2],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AJ13,IOB_X1Y16,IO_L8N_T1L_N3_AD5N_64,109.040,110.136,,,board2_adc1_data_n[1],IN,N,board2_adc1_data_p[1],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AP13,IOB_X1Y3,IO_L2N_T0L_N3_64,136.972,138.349,,,board2_adc1_data_n[0],IN,N,board2_adc1_data_p[0],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AH9,IOB_X1Y36,IO_L18P_T2U_N10_AD2P_64,139.377,140.778,,,board2_adc1_data_p[11],IN,P,board2_adc1_data_n[11],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AP11,IOB_X1Y0,IO_L1P_T0L_N0_DBC_64,130.892,132.207,,,board2_adc1_data_p[10],IN,P,board2_adc1_data_n[10],LVDS_25,,,,,,EQ_NONE,,,true,,,,
64,AD9,IOB_X1Y34,IO_L17P_T2U_N8_AD10P_64,120.161,121.369,,,board2_adc1_data_p[9],IN,P,board2_adc1_data_n[9],LVDS_25,,,,,,EQ_NONE,,,true,,,,
